host,service
"CH-SSRS03-P:9182","Symantec Endpoint Protection Service"
"CH-SSRS03-P:9182","Workstation Service"
"CH-SSRS03-P:9182","Quest KACE One Agent Service"
"CH-SSRS03-P:9182","Quest KACE Offline Scheduler Service"
"CH-SSRS03-P:9182","Quest KACE Agent WatchDog Service"
"CH-SSRS04-P:9182","Server Service"
"CH-SSRS04-P:9182","Symantec Endpoint Protection Service"
"CH-SSRS04-P:9182","Workstation Service"
"CH-SSRS04-P:9182","Quest KACE One Agent Service"
"CH-SSRS04-P:9182","Quest KACE Offline Scheduler Service"
"CH-SSRS04-P:9182","Quest KACE Agent WatchDog Service"
"CH-SSRS05-P.servicemanagement.com:9182","Server Service"
"CH-SSRS05-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-SSRS05-P.servicemanagement.com:9182","Workstation Service"
"CH-SSRS05-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-SSRS05-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-SSRS05-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-SSRS06-P:9182","Server Service"
"CH-SSRS06-P:9182","Symantec Endpoint Protection Service"
"CH-SSRS06-P:9182","Workstation Service"
"CH-SSRS06-P:9182","Quest KACE One Agent Service"
"CH-SSRS06-P:9182","Quest KACE Offline Scheduler Service"
"CH-SSRS06-P:9182","Quest KACE Agent WatchDog Service"
"ch-svc-36001-p.servicemanagement.com:9182","Server Service"
"ch-svc-36001-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-36001-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-36001-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-36001-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-36001-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-36002-p.servicemanagement.com:9182","Server Service"
"ch-svc-36002-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-36002-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-36002-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-36002-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-36002-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-36003-p.servicemanagement.com:9182","Server Service"
"ch-svc-36003-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-36003-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-36003-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-36003-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-36003-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-36004-p.servicemanagement.com:9182","Server Service"
"ch-svc-36004-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-36004-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-36004-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-36004-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-36004-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-36005-p.servicemanagement.com:9182","Server Service"
"ch-svc-36005-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-36005-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-36005-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-36005-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-36005-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-core01-p:9182","Server Service"
"ch-svc-core01-p:9182","Symantec Endpoint Protection Service"
"ch-svc-core01-p:9182","Workstation Service"
"ch-svc-core01-p:9182","Quest KACE One Agent Service"
"ch-svc-core01-p:9182","Quest KACE Offline Scheduler Service"
"ch-svc-core01-p:9182","Quest KACE Agent WatchDog Service"
"ch-svc-core01-s.servicemanagement.com:9182","Server Service"
"ch-svc-core01-s.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-core01-s.servicemanagement.com:9182","Workstation Service"
"ch-svc-core01-s.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-core01-s.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-core01-s.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-core01-t.servicemanagement.com:9182","Server Service"
"ch-svc-core01-t.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-core01-t.servicemanagement.com:9182","Workstation Service"
"ch-svc-core01-t.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-core01-t.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-core01-t.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-core02-p:9182","Server Service"
"ch-svc-core02-p:9182","Symantec Endpoint Protection Service"
"ch-svc-core02-p:9182","Workstation Service"
"ch-svc-core02-p:9182","Quest KACE One Agent Service"
"ch-svc-core02-p:9182","Quest KACE Offline Scheduler Service"
"ch-svc-core02-p:9182","Quest KACE Agent WatchDog Service"
"ch-svc-core02-s.servicemanagement.com:9182","Server Service"
"ch-svc-core02-s.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-core02-s.servicemanagement.com:9182","Workstation Service"
"ch-svc-core02-s.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-core02-s.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-core02-s.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-core02-t.servicemanagement.com:9182","Server Service"
"ch-svc-core02-t.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-core02-t.servicemanagement.com:9182","Workstation Service"
"ch-svc-core02-t.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-core02-t.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-core02-t.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-cse01-p.servicemanagement.com:9182","Server Service"
"ch-svc-cse01-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-cse01-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-cse01-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-cse01-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-cse01-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-cse01-s.servicemanagement.com:9182","Server Service"
"ch-svc-cse01-s.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-cse01-s.servicemanagement.com:9182","Workstation Service"
"ch-svc-cse01-s.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-cse01-s.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-cse01-s.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-cse01-t.servicemanagement.com:9182","Server Service"
"ch-svc-cse01-t.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-cse01-t.servicemanagement.com:9182","Workstation Service"
"ch-svc-cse01-t.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-cse01-t.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-cse01-t.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-cse02-p.servicemanagement.com:9182","Server Service"
"ch-svc-cse02-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-cse02-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-cse02-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-cse02-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-cse02-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-cse02-s.servicemanagement.com:9182","Server Service"
"ch-svc-cse02-s.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-cse02-s.servicemanagement.com:9182","Workstation Service"
"ch-svc-cse02-s.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-cse02-s.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-cse02-s.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-cse02-t.servicemanagement.com:9182","Server Service"
"ch-svc-cse02-t.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-cse02-t.servicemanagement.com:9182","Workstation Service"
"ch-svc-cse02-t.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-cse02-t.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-cse02-t.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-cse03-p.servicemanagement.com:9182","Server Service"
"ch-svc-cse03-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-cse03-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-cse03-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-cse03-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-cse03-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-ems01-p.servicemanagement.com:9182","Server Service"
"ch-svc-ems01-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-ems01-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-ems01-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-ems01-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-ems01-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-ems01-s.servicemanagement.com:9182","Server Service"
"ch-svc-ems01-s.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-ems01-s.servicemanagement.com:9182","Workstation Service"
"ch-svc-ems01-s.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-ems01-s.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-ems01-s.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-ems01-t.servicemanagement.com:9182","Server Service"
"ch-svc-ems01-t.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-ems01-t.servicemanagement.com:9182","Workstation Service"
"ch-svc-ems01-t.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-ems01-t.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-ems01-t.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-ems02-p.servicemanagement.com:9182","Server Service"
"ch-svc-ems02-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-ems02-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-ems02-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-ems02-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-ems02-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-ems02-s.servicemanagement.com:9182","Server Service"
"ch-svc-ems02-s.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-ems02-s.servicemanagement.com:9182","Workstation Service"
"ch-svc-ems02-s.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-ems02-s.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-ems02-s.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-ems02-t.servicemanagement.com:9182","Server Service"
"ch-svc-ems02-t.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-ems02-t.servicemanagement.com:9182","Workstation Service"
"ch-svc-ems02-t.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-ems02-t.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-ems02-t.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-SVC-EMS03-P.servicemanagement.com:9182","Server Service"
"CH-SVC-EMS03-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-SVC-EMS03-P.servicemanagement.com:9182","Workstation Service"
"CH-SVC-EMS03-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-SVC-EMS03-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-SVC-EMS03-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-SVC-EMS04-P.servicemanagement.com:9182","Server Service"
"CH-SVC-EMS04-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-SVC-EMS04-P.servicemanagement.com:9182","Workstation Service"
"CH-SVC-EMS04-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-SVC-EMS04-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-SVC-EMS04-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-fdbk01-p.servicemanagement.com:9182","Server Service"
"ch-svc-fdbk01-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-fdbk01-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-fdbk01-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-fdbk01-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-fdbk01-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-fdbk01-s.servicemanagement.com:9182","Server Service"
"ch-svc-fdbk01-s.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-fdbk01-s.servicemanagement.com:9182","Workstation Service"
"ch-svc-fdbk01-s.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-fdbk01-s.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-fdbk01-s.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-fdbk01-t.servicemanagement.com:9182","Server Service"
"ch-svc-fdbk01-t.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-fdbk01-t.servicemanagement.com:9182","Workstation Service"
"ch-svc-fdbk01-t.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-fdbk01-t.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-fdbk01-t.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-fdbk02-p.servicemanagement.com:9182","Server Service"
"ch-svc-fdbk02-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-fdbk02-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-fdbk02-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-fdbk02-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-fdbk02-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-SVC-KNTR01-P.servicemanagement.com:9182","Server Service"
"CH-SVC-KNTR01-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-SVC-KNTR01-P.servicemanagement.com:9182","Workstation Service"
"CH-SVC-KNTR01-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-SVC-KNTR01-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-SVC-KNTR01-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-SVC-KNTR01-S.servicemanagement.com:9182","Server Service"
"CH-SVC-KNTR01-S.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-SVC-KNTR01-S.servicemanagement.com:9182","Workstation Service"
"CH-SVC-KNTR01-S.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-SVC-KNTR01-S.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-SVC-KNTR01-S.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-SVC-KNTR01-T.servicemanagement.com:9182","Server Service"
"CH-SVC-KNTR01-T.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-SVC-KNTR01-T.servicemanagement.com:9182","Workstation Service"
"CH-SVC-KNTR01-T.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-SVC-KNTR01-T.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-SVC-KNTR01-T.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-SVC-KNTR02-P.servicemanagement.com:9182","Server Service"
"CH-SVC-KNTR02-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-SVC-KNTR02-P.servicemanagement.com:9182","Workstation Service"
"CH-SVC-KNTR02-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-SVC-KNTR02-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-SVC-KNTR02-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-kntr02-s.servicemanagement.com:9182","Server Service"
"ch-svc-kntr02-s.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-kntr02-s.servicemanagement.com:9182","Workstation Service"
"ch-svc-kntr02-s.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-kntr02-s.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-kntr02-s.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-SVC-KNTR02-T.servicemanagement.com:9182","Server Service"
"CH-SVC-KNTR02-T.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-SVC-KNTR02-T.servicemanagement.com:9182","Workstation Service"
"CH-SVC-KNTR02-T.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-SVC-KNTR02-T.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-SVC-KNTR02-T.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-mesh09-p.servicemanagement.com:9182","Server Service"
"ch-svc-mesh09-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-mesh09-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-mesh09-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-mesh09-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-mesh09-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-SVC-PDS01-P.servicemanagement.com:9182","Server Service"
"CH-SVC-PDS01-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-SVC-PDS01-P.servicemanagement.com:9182","Workstation Service"
"CH-SVC-PDS01-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-SVC-PDS01-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-SVC-PDS01-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-SVC-PDS01-S.servicemanagement.com:9182","Server Service"
"CH-SVC-PDS01-S.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-SVC-PDS01-S.servicemanagement.com:9182","Workstation Service"
"CH-SVC-PDS01-S.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-SVC-PDS01-S.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-SVC-PDS01-S.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-SVC-PDS01-T.servicemanagement.com:9182","Server Service"
"CH-SVC-PDS01-T.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-SVC-PDS01-T.servicemanagement.com:9182","Workstation Service"
"CH-SVC-PDS01-T.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-SVC-PDS01-T.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-SVC-PDS01-T.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-SVC-PDS02-P.servicemanagement.com:9182","Server Service"
"CH-SVC-PDS02-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-SVC-PDS02-P.servicemanagement.com:9182","Workstation Service"
"CH-SVC-PDS02-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-SVC-PDS02-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-SVC-PDS02-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-rpt01-p.servicemanagement.com:9182","Server Service"
"ch-svc-rpt01-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-rpt01-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-rpt01-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-rpt01-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-rpt01-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-rpt01-s.servicemanagement.com:9182","Server Service"
"ch-svc-rpt01-s.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-rpt01-s.servicemanagement.com:9182","Workstation Service"
"ch-svc-rpt01-s.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-rpt01-s.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-rpt01-s.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-rpt01-t.servicemanagement.com:9182","Server Service"
"ch-svc-rpt01-t.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-rpt01-t.servicemanagement.com:9182","Workstation Service"
"ch-svc-rpt01-t.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-rpt01-t.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-rpt01-t.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-rpt02-p.servicemanagement.com:9182","Server Service"
"ch-svc-rpt02-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-rpt02-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-rpt02-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-rpt02-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-rpt02-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-rpt02-s.servicemanagement.com:9182","Server Service"
"ch-svc-rpt02-s.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-rpt02-s.servicemanagement.com:9182","Workstation Service"
"ch-svc-rpt02-s.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-rpt02-s.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-rpt02-s.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-rpt02-t.servicemanagement.com:9182","Server Service"
"ch-svc-rpt02-t.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-rpt02-t.servicemanagement.com:9182","Workstation Service"
"ch-svc-rpt02-t.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-rpt02-t.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-rpt02-t.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-rpt03-p.servicemanagement.com:9182","Server Service"
"ch-svc-rpt03-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-rpt03-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-rpt03-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-rpt03-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-rpt03-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-rpt04-p.servicemanagement.com:9182","Server Service"
"ch-svc-rpt04-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-rpt04-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-rpt04-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-rpt04-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-rpt04-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-rpt05-p.servicemanagement.com:9182","Server Service"
"ch-svc-rpt05-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-rpt05-p.servicemanagement.com:9182","Workstation Service"
"ch-svc-rpt05-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-rpt05-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-rpt05-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-stat01-p:9182","Server Service"
"ch-svc-stat01-p:9182","Symantec Endpoint Protection Service"
"ch-svc-stat01-p:9182","Workstation Service"
"ch-svc-stat01-p:9182","Quest KACE One Agent Service"
"ch-svc-stat01-p:9182","Quest KACE Offline Scheduler Service"
"ch-svc-stat01-p:9182","Quest KACE Agent WatchDog Service"
"ch-svc-stat01-s:9182","Server Service"
"ch-svc-stat01-s:9182","Symantec Endpoint Protection Service"
"ch-svc-stat01-s:9182","Workstation Service"
"ch-svc-stat01-s:9182","Quest KACE One Agent Service"
"ch-svc-stat01-s:9182","Quest KACE Offline Scheduler Service"
"ch-svc-stat01-s:9182","Quest KACE Agent WatchDog Service"
"ch-svc-stat01-t:9182","Server Service"
"ch-svc-stat01-t:9182","Symantec Endpoint Protection Service"
"ch-svc-stat01-t:9182","Workstation Service"
"ch-svc-stat01-t:9182","Quest KACE One Agent Service"
"ch-svc-stat01-t:9182","Quest KACE Offline Scheduler Service"
"ch-svc-stat01-t:9182","Quest KACE Agent WatchDog Service"
"CH-SVC-SVCS05-P:9182","Server Service"
"CH-SVC-SVCS05-P:9182","Symantec Endpoint Protection Service"
"CH-SVC-SVCS05-P:9182","Workstation Service"
"CH-SVC-SVCS05-P:9182","Quest KACE One Agent Service"
"CH-SVC-SVCS05-P:9182","Quest KACE Offline Scheduler Service"
"CH-SVC-SVCS05-P:9182","Quest KACE Agent WatchDog Service"
"ch-svc-svcs05-s:9182","Server Service"
"ch-svc-svcs05-s:9182","Symantec Endpoint Protection Service"
"ch-svc-svcs05-s:9182","Workstation Service"
"ch-svc-svcs05-s:9182","Quest KACE One Agent Service"
"ch-svc-svcs05-s:9182","Quest KACE Offline Scheduler Service"
"ch-svc-svcs05-s:9182","Quest KACE Agent WatchDog Service"
"ch-svc-svcs05-t.servicemanagement.com:9182","Server Service"
"ch-svc-svcs05-t.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-svc-svcs05-t.servicemanagement.com:9182","Workstation Service"
"ch-svc-svcs05-t.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-svc-svcs05-t.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-svc-svcs05-t.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-svc-svcs06-p:9182","Server Service"
"ch-svc-svcs06-p:9182","Symantec Endpoint Protection Service"
"ch-svc-svcs06-p:9182","Workstation Service"
"ch-svc-svcs06-p:9182","Quest KACE One Agent Service"
"ch-svc-svcs06-p:9182","Quest KACE Offline Scheduler Service"
"ch-svc-svcs06-p:9182","Quest KACE Agent WatchDog Service"
"ch-svc-svcs06-s:9182","Server Service"
"ch-svc-svcs06-s:9182","Symantec Endpoint Protection Service"
"ch-svc-svcs06-s:9182","Workstation Service"
"ch-svc-svcs06-s:9182","Quest KACE One Agent Service"
"ch-svc-svcs06-s:9182","Quest KACE Offline Scheduler Service"
"ch-svc-svcs06-s:9182","Quest KACE Agent WatchDog Service"
"CH-SVC-SVCS07-P:9182","Server Service"
"CH-SVC-SVCS07-P:9182","Symantec Endpoint Protection Service"
"CH-SVC-SVCS07-P:9182","Workstation Service"
"CH-SVC-SVCS07-P:9182","Quest KACE One Agent Service"
"CH-SVC-SVCS07-P:9182","Quest KACE Offline Scheduler Service"
