host,service
"ch-app09-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app09-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app09-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app09-p.servicemanagement.com:9182","SMG Rosetta Portal Connector Service"
"ch-app10-p.servicemanagement.com:9182","Server Service"
"ch-app10-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-app10-p.servicemanagement.com:9182","Workstation Service"
"ch-app10-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app10-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app10-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app10-p.servicemanagement.com:9182","SMG Rosetta Portal Connector Service"
"ch-app12-p.servicemanagement.com:9182","Server Service"
"ch-app12-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-app12-p.servicemanagement.com:9182","Workstation Service"
"ch-app12-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app12-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app12-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-arp01-p.servicemanagement.com:9182","Server Service"
"ch-app-arp01-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-app-arp01-p.servicemanagement.com:9182","Workstation Service"
"ch-app-arp01-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app-arp01-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app-arp01-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-arp01-s.servicemanagement.com:9182","Server Service"
"ch-app-arp01-s.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-app-arp01-s.servicemanagement.com:9182","Workstation Service"
"ch-app-arp01-s.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app-arp01-s.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app-arp01-s.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-arp01-t.servicemanagement.com:9182","Server Service"
"ch-app-arp01-t.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-app-arp01-t.servicemanagement.com:9182","Workstation Service"
"ch-app-arp01-t.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app-arp01-t.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app-arp01-t.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-arp02-p.servicemanagement.com:9182","Server Service"
"ch-app-arp02-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-app-arp02-p.servicemanagement.com:9182","Workstation Service"
"ch-app-arp02-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app-arp02-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app-arp02-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-ems01-p.servicemanagement.com:9182","Server Service"
"ch-app-ems01-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-app-ems01-p.servicemanagement.com:9182","Workstation Service"
"ch-app-ems01-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app-ems01-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app-ems01-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-ems01-p.servicemanagement.com:9182","SMG EMS Response Manager Service"
"ch-app-ems01-p.servicemanagement.com:9182","SMG EMS Event Manager Service"
"ch-app-ems01-p.servicemanagement.com:9182","SMG EMS Configuration Detection Manager Service"
"ch-app-ems01-p.servicemanagement.com:9182","SMG EMS Message Shovel Service"
"ch-app-ems02-p.servicemanagement.com:9182","Server Service"
"ch-app-ems02-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-app-ems02-p.servicemanagement.com:9182","Workstation Service"
"ch-app-ems02-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app-ems02-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app-ems02-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-ems02-p.servicemanagement.com:9182","SMG EMS Response Manager Service"
"ch-app-ems02-p.servicemanagement.com:9182","SMG EMS Event Manager Service"
"ch-app-ems02-p.servicemanagement.com:9182","SMG EMS Configuration Detection Manager Service"
"ch-app-ems02-p.servicemanagement.com:9182","SMG EMS Message Shovel Service"
"ch-app-ems03-p.servicemanagement.com:9182","Server Service"
"ch-app-ems03-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-app-ems03-p.servicemanagement.com:9182","Workstation Service"
"ch-app-ems03-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app-ems03-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app-ems03-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-ems03-p.servicemanagement.com:9182","SMG EMS Response Manager Service"
"ch-app-ems03-p.servicemanagement.com:9182","SMG EMS Event Manager Service"
"ch-app-ems03-p.servicemanagement.com:9182","SMG EMS Configuration Detection Manager Service"
"ch-app-ems03-p.servicemanagement.com:9182","SMG EMS Message Shovel Service"
"ch-app-ems04-p.servicemanagement.com:9182","Server Service"
"ch-app-ems04-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-app-ems04-p.servicemanagement.com:9182","Workstation Service"
"ch-app-ems04-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app-ems04-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app-ems04-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-ems04-p.servicemanagement.com:9182","SMG EMS Response Manager Service"
"ch-app-ems04-p.servicemanagement.com:9182","SMG EMS Event Manager Service"
"ch-app-ems04-p.servicemanagement.com:9182","SMG EMS Configuration Detection Manager Service"
"ch-app-ems04-p.servicemanagement.com:9182","SMG EMS Message Shovel Service"
"CH-APP-EMS05-P.servicemanagement.com:9182","Server Service"
"CH-APP-EMS05-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-APP-EMS05-P.servicemanagement.com:9182","Workstation Service"
"CH-APP-EMS05-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-APP-EMS05-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-APP-EMS05-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-APP-EMS05-P.servicemanagement.com:9182","SMG EMS Response Manager Service"
"CH-APP-EMS05-P.servicemanagement.com:9182","SMG EMS Event Manager Service"
"CH-APP-EMS05-P.servicemanagement.com:9182","SMG EMS Configuration Detection Manager Service"
"CH-APP-EMS05-P.servicemanagement.com:9182","SMG EMS Message Shovel Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","Server Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","World Wide Web Publishing Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","Workstation Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","Net.Pipe Listener Adapter Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","Net.Tcp Listener Adapter Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","Net.Tcp Port Sharing Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","SMG Service Structures Recurring File Import Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","SMG PGP Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","SMG Publication Scheduler Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","SMG Publication Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","SMG Social Connector Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","SMG Audio Processing Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","SMG Rosetta Portal Connector Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","SMG Rosetta Storm Validator Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","SMG SMS Queue Consumer Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","SMG Text Analytics Sentiment Correction Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","SMG Hierarchy Changeset Applicator Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","SMG Hierarchy Changeset Bulk Change Processor Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","SMG Hierarchy Changeset Recurring File Processor Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","SMG Scheduler Service"
"CH-APP-GEN01-P.servicemanagement.com:9182","Survey Back Fill Service"
"CH-APP-GEN01-S:9182","Server Service"
"CH-APP-GEN01-S:9182","Symantec Endpoint Protection Service"
"CH-APP-GEN01-S:9182","Workstation Service"
"CH-APP-GEN01-S:9182","Quest KACE One Agent Service"
"CH-APP-GEN01-S:9182","Quest KACE Offline Scheduler Service"
"CH-APP-GEN01-S:9182","Quest KACE Agent WatchDog Service"
"CH-APP-GEN01-S:9182","SMG Service Structures Recurring File Import Service"
"CH-APP-GEN01-S:9182","SMG PGP Service"
"CH-APP-GEN01-S:9182","SMG Publication Scheduler Service"
"CH-APP-GEN01-S:9182","SMG Publication Service"
"CH-APP-GEN01-S:9182","SMG Social Connector Service"
"CH-APP-GEN01-S:9182","SMG Audio Processing Service"
"CH-APP-GEN01-S:9182","SMG Rosetta Storm Validator Service"
"CH-APP-GEN01-S:9182","SMG SMS Queue Consumer Service"
"CH-APP-GEN01-S:9182","SMG SMS Queue Consumer Service"
"CH-APP-GEN01-S:9182","SMG Text Analytics Sentiment Correction Service"
"CH-APP-GEN01-S:9182","SMG Hierarchy Changeset Applicator Service"
"CH-APP-GEN01-S:9182","SMG Hierarchy Changeset Bulk Change Processor Service"
"CH-APP-GEN01-S:9182","SMG Hierarchy Changeset Recurring File Processor Service"
"CH-APP-GEN01-S:9182","SMG Scheduler Service"
"CH-APP-GEN01-S:9182","SMG Scheduler Service"
"CH-APP-GEN01-S:9182","Survey Back Fill Service"
"CH-APP-GEN01-S:9182","Survey Back Fill Service"
"CH-APP-GEN01-T.servicemanagement.com:9182","Server Service"
"CH-APP-GEN01-T.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-APP-GEN01-T.servicemanagement.com:9182","Workstation Service"
"CH-APP-GEN01-T.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-APP-GEN01-T.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-APP-GEN01-T.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-int01-p.servicemanagement.com:9182","Server Service"
"ch-app-int01-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-app-int01-p.servicemanagement.com:9182","Workstation Service"
"ch-app-int01-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app-int01-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app-int01-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-int01-p.servicemanagement.com:9182","SMG Queue Archiver Monitor Service"
"CH-APP-REPS01-P.servicemanagement.com:9182","Server Service"
"CH-APP-REPS01-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-APP-REPS01-P.servicemanagement.com:9182","Workstation Service"
"CH-APP-REPS01-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-APP-REPS01-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-APP-REPS01-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-APP-REPS02-P.servicemanagement.com:9182","Server Service"
"CH-APP-REPS02-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-APP-REPS02-P.servicemanagement.com:9182","Workstation Service"
"CH-APP-REPS02-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-APP-REPS02-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-APP-REPS02-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-APP-REPS02-T.servicemanagement.com:9182","Server Service"
"CH-APP-REPS02-T.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-APP-REPS02-T.servicemanagement.com:9182","Workstation Service"
"CH-APP-REPS02-T.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-APP-REPS02-T.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-APP-REPS02-T.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-APP-REPS03-P.servicemanagement.com:9182","Server Service"
"CH-APP-REPS03-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-APP-REPS03-P.servicemanagement.com:9182","Workstation Service"
"CH-APP-REPS03-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-APP-REPS03-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-APP-REPS03-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-APP-REPS04-P.servicemanagement.com:9182","Server Service"
"CH-APP-REPS04-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-APP-REPS04-P.servicemanagement.com:9182","Workstation Service"
"CH-APP-REPS04-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-APP-REPS04-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-APP-REPS04-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-APP-RR01-P.servicemanagement.com:9182","Server Service"
"CH-APP-RR01-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-APP-RR01-P.servicemanagement.com:9182","World Wide Web Publishing Service"
"CH-APP-RR01-P.servicemanagement.com:9182","Workstation Service"
"CH-APP-RR01-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-APP-RR01-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-APP-RR01-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-APP-RR01-P.servicemanagement.com:9182","Report Runner Service"
"CH-APP-RR02-P.servicemanagement.com:9182","Server Service"
"CH-APP-RR02-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-APP-RR02-P.servicemanagement.com:9182","World Wide Web Publishing Service"
"CH-APP-RR02-P.servicemanagement.com:9182","Workstation Service"
"CH-APP-RR02-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-APP-RR02-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-APP-RR02-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-APP-RR02-P.servicemanagement.com:9182","Report Runner Service"
"CH-APP-RR03-P.servicemanagement.com:9182","Server Service"
"CH-APP-RR03-P.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"CH-APP-RR03-P.servicemanagement.com:9182","World Wide Web Publishing Service"
"CH-APP-RR03-P.servicemanagement.com:9182","Workstation Service"
"CH-APP-RR03-P.servicemanagement.com:9182","Quest KACE One Agent Service"
"CH-APP-RR03-P.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"CH-APP-RR03-P.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"CH-APP-RR03-P.servicemanagement.com:9182","Report Runner Service"
"ch-app-smtp01-p.servicemanagement.com:9182","Server Service"
"ch-app-smtp01-p.servicemanagement.com:9182","Symantec Endpoint Protection Service"
"ch-app-smtp01-p.servicemanagement.com:9182","Workstation Service"
"ch-app-smtp01-p.servicemanagement.com:9182","Quest KACE One Agent Service"
"ch-app-smtp01-p.servicemanagement.com:9182","Quest KACE Offline Scheduler Service"
"ch-app-smtp01-p.servicemanagement.com:9182","Quest KACE Agent WatchDog Service"
"ch-app-smtp01-p.servicemanagement.com:9182","Mail Marshal Engine Service"
"ch-app-smtp01-p.servicemanagement.com:9182","Mail Marshal Sender Service"
"ch-app-smtp01-s.servicemanagement.com:9182","Server Service"
"ch-app-smtp01-s.servicemanagement.com:9182","Symantec Endpoint Protection Service"
